Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Saudi Arabia,2022,Exports & Imports,4382,3581,94.91,76.98,,171636283.9,395892166.9,1.62,0.74,5.67,1.31,66328,56.53,37.95,1.73,3.8,1068.23,0,288350972.5,397002749,2941578.9,8.99,2.75,865979,67.18,28.35,9.26,49.12,3000,0,299473495.8,399944327.9,0,11
 World,Senegal,2022,Exports & Imports,3760,2192,81.44,47.12,,15641328.48,4671070.2,0.02,0.07,2.01,1.41,22435,16.56,82.93,0.02,0.49,754.3,0,126.26,3323519.17,2946491.63,9.78,8.13,627977,67.79,27.19,23.32,117.16,3000,0,4010369,6270010.81,0,49
 World,"Serbia, FR(Serbia/Montenegro)",2022,Exports & Imports,4308,3806,93.31,81.81,,35077880.27,29209322.98,0.12,0.15,5.67,6.45,123405,62.5,27.55,1.66,8.28,754.3,0,4987689.54,39874733,5282867.96,8.86,8.93,941920,67.12,28.34,5.15,29.57,3000,0,18432401.49,45157600.96,0,
 World,Singapore,2022,Exports & Imports,4449,4271,96.36,91.81,,402659647.2,325380491.3,1.33,1.74,3.32,1.84,193418,28.22,69.95,0.54,1.3,1206.82,0,24589813.87,301720705.9,19952450.27,8.66,4.27,1056899,67.13,28.67,3.54,19.43,3000,0,55894635.94,321672669.3,486.83,34
 World,South Georgia and the South Sa,2022,Exports & Imports,68,71,1.47,1.53,,1750.89,3196.01,0,0,6.04,2.78,302,68.21,31.13,0,0.66,754.3,0,0,3768.39,1393.49,8.15,3.36,26998,61.17,28.5,111.59,811.59,1355.58,0,29.04,5161.88,0,1
 World,Saint Helena,2022,Exports & Imports,1178,351,25.51,7.55,,45304.63,40781.64,0,0,5.45,2.51,1796,51,47.27,1.39,0.33,274.5,0,117.85,24898.75,21172.41,8.27,8.52,103083,66.3,32.06,26.34,67.93,1064.06,0,28550.02,46071.16,0,7
 World,Solomon Islands,2022,Exports & Imports,2118,410,45.87,8.81,,540520,570991.03,0,0,1.95,0.67,1663,18.34,81.42,0.18,0.06,45,0,0,395284.24,252588.19,9.27,12.01,89586,66.18,29.76,51.29,167.23,1487.24,0,297034.19,647872.43,0,35
 World,Sierra Leone,2022,Exports & Imports,2801,1397,60.67,30.03,,1786160.56,1339347.03,0.01,0.01,2.12,0.32,14457,18.7,80.96,0.06,0.28,274.5,0,367.75,681916.37,893923.95,9.25,4.61,364545,68.05,27.77,19.03,86.28,1487.24,0,1096254.33,1575840.32,0,48
 World,El Salvador,2022,Exports & Imports,3690,2290,79.92,49.23,,13261532.39,6474218.01,0.03,0.06,2.55,6.54,32747,23.34,73.78,0.53,2.35,754.3,0,2539604.85,7041420.09,317324.42,9.41,13.86,661265,68.66,26.93,15.04,74.02,1766.5,0,4242463.33,7358744.51,0,22
 World,San Marino,2022,Exports & Imports,1478,1243,32.01,26.72,,437037.89,221165.99,0,0,2.52,2.86,12493,23.13,73.8,0.13,2.94,754.3,0,17733.54,255827.66,68993.79,9.57,7.37,317283,71.07,24.9,21.59,80.69,3000,0,81432.43,324821.45,0,2
 World,Somalia,2022,Exports & Imports,2922,548,63.29,11.78,,5763696.19,601335.53,0,0.03,5.3,1.15,2869,23.25,75.95,0.14,0.66,60,0,56990.33,102033.71,207342.25,9.17,10.88,149835,65.07,29.93,30.99,230.43,1355.58,0,284175.22,309375.96,0,33
 World,Special Categories,2022,Exports & Imports,2298,2309,49.77,49.63,,33887647.32,49941077.72,0.2,0.15,9.73,0.47,4345,54.43,43.34,0.05,2.19,91.26,0,0.49,1274245.88,21683910.3,9.08,3.42,589858,68.2,27.47,95.4,492.45,3000,0,19674192.81,22958156.17,0,
 World,Saint Pierre and Miquelon,2022,Exports & Imports,1685,178,36.5,3.83,,68008.09,8357.54,0,0,0.77,0.12,1094,4.48,85.1,0,10.42,25,0,0,59.47,3315.67,10.06,12.06,59390,58.91,30.19,103.29,488.03,1355.58,0,1531.99,3375.14,0,2
 World,South Sudan,2022,Exports & Imports,2501,525,54.17,11.29,,1580242.26,562049.37,0,0.01,17.75,0.33,1100,39.18,57.82,0.09,2.91,100,0,21.34,33595.58,622796.2,10.59,2.31,127661,66.75,25.26,178.09,749.64,3000,0,615516.88,656391.77,0,25
 World,Sub-Saharan Africa,2022,Exports & Imports,,4573,,98.3,,479636647.3,517504292.3,2.12,2.08,3.38,1.72,696786,26.2,71.05,0.49,2.26,3000,0,232474156.5,547754963.5,6131033.05,8.76,5.17,1129633,66.82,28.83,1.08,5.98,3000,0,392540019.3,553885993.9,2.66,1769
 World,Sao Tome and Principe,2022,Exports & Imports,2213,485,47.93,10.43,,190368.17,22565.62,0,0,3.18,0.29,2363,14.35,85.23,0,0.42,100,0,0,2320.66,34969.01,7.95,7.16,135121,65.81,30.4,68.01,148.58,956.73,0,1236.85,37289.67,0,33
 World,Sudan,2022,Exports & Imports,3385,883,73.32,18.98,,9637080.09,5558705.53,0.02,0.04,6.98,4.08,4401,31.61,65.3,2.11,0.98,988.39,0,12106.58,3038030.88,156598.28,9.6,6.21,216327,66.26,29.13,45.49,180.87,3000,0,2341510.03,3194629.16,0,33
 World,Suriname,2022,Exports & Imports,2858,1200,61.9,25.8,,1735608.75,2584907.22,0.01,0.01,2.99,0.77,9084,14.19,84.41,0.39,1.01,274.5,0,1409.34,498945.82,1622762.41,10.39,5.86,343097,68.16,26.12,37.66,178.32,3000,0,1725372.85,2121707.99,0.24,11
 World,Slovak Republic,2022,Exports & Imports,4472,4389,96.86,94.35,,94515524.3,106720409.5,0.44,0.41,3.27,8.45,78641,35.74,62.42,0.26,1.59,961.32,0,13537322.62,23475588.91,373881.98,8.66,13.5,770355,67.09,28.62,6.64,35.35,3000,0,15565893.37,23849470.9,0,30
 World,Slovenia,2022,Exports & Imports,4463,4384,96.66,94.24,,65715416.53,54224730.94,0.22,0.28,3.33,4.53,82004,34.31,63.5,0.19,2.01,785.59,0,521078.47,15089303.85,242743.03,8.54,6.4,834914,67.25,28.5,6.92,36.37,3000,0,1405090.42,15332046.88,0,30
