Unnamed: 0,session.x,ccode1,ccode2,agree,year,IdealPointAll.x,NVotesAll.x,IdealPointAll.y,NVotesAll.y,IdealPointDistance
1248534,64,56,41,0.947761194029851,2009,-0.2716591,65.0,-0.4487259,52.0,0.1770668
1524029,71,461,750,0.71875,2016,0.02370509,76.0,-0.3137452,77.0,0.33745029
1123030,60,565,461,0.964705882352941,2005,-0.4401313,74.0,-0.6864945,75.0,0.2463632
590757,43,380,935,0.785123966942149,1988,1.108839,134.0,-0.5821606,123.0,1.6909996
748901,49,165,366,0.7890625,1994,0.1071352,68.0,1.200639,64.0,1.0935038
620149,44,510,140,0.941441441441441,1989,-0.9314404,112.0,-0.1548709,115.0,0.7765695
1257759,64,344,349,0.976470588235294,2009,0.9442067,67.0,0.8979081,68.0,0.0462986
839277,52,57,565,0.931818181818182,1997,-0.1463058,33.0,-0.9393024,69.0,0.7929966
529227,40,812,55,0.590551181102362,1985,-1.647299,138.0,1.214023,130.0,2.861322
159867,22,700,53,0.565217391304348,1967,-0.7635536,57.0,0.8759471,46.0,1.6395007
1660733,75,211,760,0.71875,2020,1.060256,96.0,-0.5049055,96.0,1.5651615
810114,51,140,359,0.76865671641791,1996,-0.1282843,73.0,1.100309,68.0,1.2285933
622286,44,572,692,0.942708333333333,1989,-0.009770371,96.0,-0.5254906,116.0,0.515720229
1136612,61,20,42,0.718181818181818,2006,1.448361,92.0,0.06932235,90.0,1.37903865
1509122,71,94,211,0.793103448275862,2016,-0.1688128,77.0,1.129343,78.0,1.2981558
1310068,65,666,205,0.512048192771084,2010,2.419609,67.0,0.7553436,67.0,1.6642654
782863,50,339,710,0.763888888888889,1995,0.9627288,75.0,-1.572266,78.0,2.5349948
624676,44,663,40,0.960869565217391,1989,-0.6619411,116.0,-1.192684,115.0,0.5307429
1249116,64,60,58,1.0,2009,-0.477664,40.0,-0.4891341,57.0,0.0114701
809172,51,101,70,0.959459459459459,1996,-0.3027339,74.0,-0.4372225,74.0,0.1344886
257074,28,630,101,0.918604651162791,1973,0.2560697,89.0,0.5659416,88.0,0.3098719
1406623,68,359,360,1.0,2013,0.9435521,63.0,0.941239,64.0,0.0023130999999999
1632552,74,411,56,0.96875,2019,-0.5824421,17.0,-0.4939017,89.0,0.0885404
490619,39,360,101,0.947552447552448,1984,-0.6667025,144.0,-0.1168934,150.0,0.5498091
1575338,72,820,58,0.959090909090909,2017,-0.7222781,87.0,-0.4803527,82.0,0.2419254
959429,55,900,53,0.810810810810811,2000,0.937627,67.0,-0.3514133,66.0,1.2890403
761135,49,540,371,0.808823529411765,1994,-0.2314974,37.0,0.718504,65.0,0.9500014
