Year,Actor1CountryCode,Actor2CountryCode,AvgTone_Avg
2023,IND,THA,-0.2871442074111183
2024,ARE,CHN,1.6791262316937845
2020,USA,FRA,-1.794936283215126
2020,AUS,JPN,-0.813967174868809
2011,HKG,CHN,5.762747494592329
2007,NLD,KOR,4.04061431541998
2008,MYS,KOR,6.163316991507045
2016,SGP,VNM,0.7516601906854414
2018,HKG,CHN,-0.5160556914837887
2021,VNM,JPN,0.4991293408208787
2007,NLD,MYS,5.9335988679499705
2019,VNM,SGP,0.9487429782928256
2014,NLD,JPN,2.35235337751466
2011,JPN,AUS,5.86480037259591
2019,KOR,IDN,0.9214714967048848
2021,FRA,USA,-1.1592540348915843
2017,MYS,IDN,-1.9360730352578084
2006,VNM,PHL,6.754363964295511
2024,VNM,ARE,3.202481682419378
2007,CHN,PHL,5.971270660028322
2018,KOR,DEU,-0.6502646340429012
2012,FRA,AUS,5.0575720236667605
2012,MYS,THA,4.621563758379988
2017,ARE,HKG,4.354938696790195
2008,AUS,CHE,4.785986245910468
2022,JPN,DEU,-0.9745869811263712
2007,PHL,IND,9.003072247920926
2007,ARE,NLD,8.227763553444552
2021,MYS,THA,-0.7417620668666369
2008,CHE,JPN,6.302312698671223
2018,NLD,CHE,-2.6286234089918934
2006,USA,KOR,5.800802718646123
2023,MYS,KOR,2.3579689092849763
2013,CHE,THA,3.8396006764532142
2023,PHL,IDN,-0.2683934146970763
2020,VNM,JPN,0.271967208524683
2015,USA,CHN,-0.9382120108690024
2014,FRA,USA,2.646382525260353
2022,CHE,NLD,-0.3334611380482615
2016,NLD,AUS,-0.9358170799683772
2013,ARE,IDN,2.0036879973362307
2009,SGP,NLD,8.151600646149648
2008,AUS,KOR,5.656941361814829
2014,VNM,DEU,3.422284693949018
2016,HKG,JPN,0.4442035105131779
2014,IDN,PHL,3.0120116605156446
2024,CHE,JPN,0.5502227349256853
2012,SGP,CHE,5.550768987345329
2017,ARE,PHL,-0.8096654027436823
2009,CHE,DEU,5.407390389869828
2012,DEU,IDN,6.127193762691995
