Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Bouvet Island,2020,Exports & Imports,50.0,63,1.08,1.36,,775.16,328.57,0.0,0.0,6.84,7.98,367,50.14,23.71,13.62,12.53,32.63,0,214.53,397.95,89.38,10.73,15.71,24884,64.41,21.47,391.55,565.67,1167.01,0,393.46,487.33,0.0,2.0
 World,Botswana,2020,Exports & Imports,3874.0,1919,83.94,41.33,,5630622.59,4070994.26,0.02,0.03,0.88,0.94,9212,6.76,92.9,0.01,0.33,292.0,0,1.71,5199087.55,226526.7,9.66,8.03,690629,69.02,23.12,66.97,522.5,3000.0,0,118133.54,5425614.24,0.0,27.0
 World,Central African Republic,2020,Exports & Imports,1943.0,395,42.1,8.51,,361091.9,138718.64,0.0,0.0,5.16,0.55,2935,17.24,75.5,0.0,7.26,70.0,0,0.0,80827.22,56553.02,8.51,4.38,170724,68.28,23.64,67.56,402.79,1545.16,0,21901.52,137380.24,0.0,28.0
 World,Canada,2020,Exports & Imports,4531.0,4432,98.18,95.46,,406761600.3,396970985.3,2.29,2.37,4.19,4.47,344005,31.22,66.79,0.19,1.81,3000.0,0,56030338.77,349964915.4,35307370.81,8.57,7.45,1466060,69.23,24.87,3.34,21.79,3000.0,0,178417906.2,385272286.2,0.0,23.0
 World,Cocos (Keeling) Islands,2020,Exports & Imports,268.0,325,5.81,7.0,,6875.37,5243.37,0.0,0.0,5.18,3.4,2796,62.55,32.62,2.0,2.83,48.59,0,99.04,3351.41,2310.09,8.3,8.14,150317,72.57,24.13,41.09,136.55,1545.16,0,1634.93,5661.5,0.0,5.0
 World,Switzerland,2020,Exports & Imports,4522.0,4400,97.98,94.77,,283804420.2,318280406.1,1.83,1.65,3.53,2.92,409943,22.67,73.29,0.41,3.63,754.3,0,46213395.79,386457107.8,8364928.73,8.45,6.85,1439705,69.22,24.97,2.8,17.62,3000.0,0,146695466.9,394822036.5,0.0,40.0
 World,Chile,2020,Exports & Imports,4254.0,3223,92.18,69.42,,56847940.94,76512865.56,0.44,0.33,2.44,2.2,102916,13.63,75.74,1.15,9.48,3000.0,0,6817607.54,75699383.71,3943835.33,9.02,6.92,1178579,69.93,23.64,9.67,63.99,3000.0,0,33794434.99,79643219.04,0.0,81.0
 World,China,2020,Exports & Imports,4541.0,4613,98.4,99.35,,1726046370.0,2702728746.0,15.57,10.04,7.1,5.98,881057,65.78,30.68,0.66,2.89,2498.43,0,314694227.2,3026454979.0,501224.32,8.6,6.77,1525029,69.3,24.88,1.33,8.75,3000.0,0,665599941.9,3026956203.0,0.0,31.0
 World,Cote d'Ivoire,2020,Exports & Imports,3584.0,1921,77.66,41.37,,10311672.49,11509926.66,0.07,0.06,2.15,2.55,24457,12.88,83.82,0.07,3.23,1331.46,0,43579.68,15023668.17,506855.64,9.37,7.55,754855,69.9,23.18,27.82,185.66,3000.0,0,2491098.85,15530523.81,0.0,30.0
 World,Cameroon,2020,Exports & Imports,3425.0,2059,74.21,44.35,,7231893.29,4329408.56,0.02,0.04,4.81,2.16,23468,20.85,75.45,0.12,3.58,1331.46,0,8348.76,5479873.78,524408.2,9.68,4.77,607827,70.79,22.24,25.61,154.92,3000.0,0,2806612.68,6004281.97,0.0,20.0
