year,country_a,country_b,un_dist,sector,value_export,value_import,D
2019,ARE,USA,3.2789861,bec_5,842010680.7772492,2638736233.656125,0.8562083888056631
2019,ARE,USA,3.2789861,bec_6,128340508.3736453,1259449020.7911088,0.8562083888056631
2019,ARE,USA,3.2789861,bec_7,279347867.6358595,920573047.1385725,0.8562083888056631
2019,ARE,USA,3.2789861,bec_8,617574963.16037,6060524156.485647,0.8562083888056631
2020,ARE,USA,3.3022665,bec_1,166515407.71113855,860214941.4257618,0.8063616007087483
2020,ARE,USA,3.3022665,bec_2,229650939.11445025,1456485752.3591995,0.8063616007087483
2020,ARE,USA,3.3022665,bec_3,479107804.0269854,1789433017.4248872,0.8063616007087483
2020,ARE,USA,3.3022665,bec_4,247933182.86405072,857056761.0095001,0.8063616007087483
2020,ARE,USA,3.3022665,bec_5,588578166.1944634,2024519297.5537927,0.8063616007087483
2020,ARE,USA,3.3022665,bec_6,114002755.84091789,1289668962.7505198,0.8063616007087483
2020,ARE,USA,3.3022665,bec_7,284798446.87141055,902479522.9088224,0.8063616007087483
2020,ARE,USA,3.3022665,bec_8,410217649.376583,3660175024.5675154,0.8063616007087483
2021,ARE,USA,3.1957174,bec_1,316135580.6997492,958242746.2245924,0.820008905587459
2021,ARE,USA,3.1957174,bec_2,316366270.9038445,1323549022.9712994,0.820008905587459
2021,ARE,USA,3.1957174,bec_3,899200165.3656809,1799821297.132364,0.820008905587459
2021,ARE,USA,3.1957174,bec_4,717042267.766756,1398006516.319852,0.820008905587459
2021,ARE,USA,3.1957174,bec_5,1020953271.6939662,2123689411.888924,0.820008905587459
2021,ARE,USA,3.1957174,bec_6,151489112.63927245,1439436616.0321412,0.820008905587459
2021,ARE,USA,3.1957174,bec_7,448241907.2775251,872684283.4452515,0.820008905587459
2021,ARE,USA,3.1957174,bec_8,792826015.6532055,4247804921.985576,0.820008905587459
2022,ARE,USA,3.2559727,bec_1,238183943.8956925,944091756.8154656,0.8271168533125588
2022,ARE,USA,3.2559727,bec_2,352090131.8377298,1642159138.4747798,0.8271168533125588
2022,ARE,USA,3.2559727,bec_3,870402516.7975811,2180677012.493345,0.8271168533125588
2022,ARE,USA,3.2559727,bec_4,787138793.5946555,1464749369.5959785,0.8271168533125588
2022,ARE,USA,3.2559727,bec_5,1420732499.888165,3029947704.562106,0.8271168533125588
2022,ARE,USA,3.2559727,bec_6,319204467.5611597,2916284621.4167786,0.8271168533125588
2022,ARE,USA,3.2559727,bec_7,446445827.0238765,1141039596.5945556,0.8271168533125588
2022,ARE,USA,3.2559727,bec_8,584013147.40114,2738283184.046993,0.8271168533125588
2023,ARE,USA,3.163532,bec_1,190635249.9446058,990668445.5370568,0.8159039016126236
2023,ARE,USA,3.163532,bec_2,271238693.12429804,1582863938.9617186,0.8159039016126236
2023,ARE,USA,3.163532,bec_3,818401347.3450879,2395424870.9908423,0.8159039016126236
2023,ARE,USA,3.163532,bec_4,802148976.6587521,2255269932.052063,0.8159039016126236
2023,ARE,USA,3.163532,bec_5,1384111150.125931,3924739411.4047146,0.8159039016126236
2023,ARE,USA,3.163532,bec_6,341911867.9235667,3011188647.4875865,0.8159039016126236
2023,ARE,USA,3.163532,bec_7,418577079.9399245,1280662015.212816,0.8159039016126236
2023,ARE,USA,3.163532,bec_8,416269842.9378328,3156536210.3532004,0.8159039016126236
2006,ARE,VNM,1.1703389457546296,bec_1,5465610.953847003,41980466.065681785,0.6792211809909137
2006,ARE,VNM,1.1703389457546296,bec_2,1500597.0055588605,14150121.492862064,0.6792211809909137
2006,ARE,VNM,1.1703389457546296,bec_3,2254507.587587056,17728567.6142758,0.6792211809909137
2006,ARE,VNM,1.1703389457546296,bec_4,4173145.0555079314,36724622.25864138,0.6792211809909137
2006,ARE,VNM,1.1703389457546296,bec_5,1856503.5837054509,7549245.339530701,0.6792211809909137
2006,ARE,VNM,1.1703389457546296,bec_6,6224353.280085893,6096648.209219302,0.6792211809909137
2006,ARE,VNM,1.1703389457546296,bec_7,313362.65256501024,779219.0297853573,0.6792211809909137
2006,ARE,VNM,1.1703389457546296,bec_8,24702483.881142788,32463109.99000362,0.6792211809909137
2007,ARE,VNM,1.1703389457546296,bec_1,38265978.6564058,74255805.5332486,0.5341902805646125
2007,ARE,VNM,1.1703389457546296,bec_2,9969065.928819418,19486592.32262659,0.5341902805646125
2007,ARE,VNM,1.1703389457546296,bec_3,7122186.03635827,29985141.421960045,0.5341902805646125
2007,ARE,VNM,1.1703389457546296,bec_4,27354536.858281054,39787711.507540144,0.5341902805646125
2007,ARE,VNM,1.1703389457546296,bec_5,15659707.154925402,25087835.55425843,0.5341902805646125
2007,ARE,VNM,1.1703389457546296,bec_6,1814897.6385553628,22605561.527571056,0.5341902805646125
