country_a,country_b,year,tradeagreementindex,maritime_connectivity,sentiment_index,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8
THA,SGP,2017,14,0.5,0.455199062443697,426598742.24271667,2173126923.0428677,910184888.9421864,705732598.2667094,1204679381.6716073,1694863290.2875988,305841132.3801527,191905139.16616148
THA,SGP,2018,14,0.5,0.4509943217827454,479853613.47344923,2461464347.795471,966479127.406388,832902882.3588586,1179939372.71318,1792448916.5633595,374458215.63817817,216532884.05111426
THA,SGP,2019,14,0.5,0.4754478300572971,487501439.04161036,1931075506.5453355,892915286.1703348,1255021402.8121526,957062812.3914386,1671122027.7242892,400812649.3599729,202662059.95486453
THA,SGP,2020,14,0.5,0.4149027466179406,574995891.6214801,1376167983.2342021,734112905.8213613,2610028992.8357058,462585588.89467525,1903331801.2108042,362365960.7677709,170579195.614
THA,SGP,2021,14,0.5,0.4707379881242496,550746123.8829479,1775792214.7558281,835542411.4522723,1103695433.5598495,420795559.67991036,2097688660.7891617,359784398.7993486,212194045.08068213
THA,SGP,2022,14,0.5,0.4780491698156776,546016632.4037409,2002799297.5845373,842994235.9925944,1201015025.6981554,720713614.8188853,2120868522.2275293,371590932.35952735,8742218.915029813
THA,SGP,2023,14,0.5,0.4823364289493549,533951366.4890763,1994680982.648111,1005159649.9657542,1181312688.50782,608135013.7799104,1904176622.401173,352461299.4923769,13108488.715778641
THA,CHE,2006,0,0.0,0.600692515378643,28988915.33999188,40464298.90814995,97198711.41292141,404846922.66280085,63312566.01667701,20790971.370721515,214912456.3110885,166880869.97764874
THA,CHE,2007,0,0.0,0.6508658822756805,42748323.985108584,33621810.25673499,139757953.22058302,688541196.5402732,75452413.27395597,69258893.44095504,306200830.34944594,182206738.93294317
THA,CHE,2008,0,0.0,0.6976044099467613,34321674.39239267,32109393.19530641,113671183.15125284,1466959561.0855286,54270705.36426074,52556092.93904269,251173558.4697516,48601063.402464494
THA,CHE,2009,0,0.0,0.6100258753010609,45844678.61229435,41306798.74568968,152081168.0665159,2631528587.220567,66061282.55662966,94250618.3161806,315903001.062366,49518201.419756204
THA,CHE,2010,0,0.0,0.6786356093800414,38887303.25813265,63243470.33908273,145545385.31111678,3568209802.003049,66857484.10466091,82751714.06122355,316038060.56408966,65349852.35864469
THA,CHE,2011,0,0.0,0.608967163905628,41140394.25698874,48448266.09846149,129074790.1291978,4107439783.621773,75341595.94089617,66849279.51543206,321144991.5551548,74679170.88209628
THA,CHE,2012,0,0.0,0.6714083892907409,56087594.790167876,87500938.42259726,141728384.8324142,4255686593.2020183,66175936.52888218,73545356.92708273,382552628.3134082,65627270.9834289
THA,CHE,2013,0,0.0,0.5745741505809109,17907485.65688396,23470688.23824024,41568158.13484253,1253733260.9748943,24786364.79101597,19421442.058835905,138180752.9495588,17638023.195728257
THA,CHE,2014,0,0.0,0.5768751493665273,40340273.17517202,50585642.49583367,108974327.37769417,1271517884.296898,56780062.8504889,39317113.407368325,278152853.9520745,28209346.44447051
