"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
582873659,20160926,201609,2016,2016.7288,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,1,1,1,-1.38888888888889,2,"New Jersey, United States","US","USNJ",40.314,-74.5089,NA,2,"Pennsylvania, United States","US","USPA",40.5773,-77.264,NA,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,20160926,"https://www.yahoo.com/news/watch-time-lapse-footage-tesla-151151475.html"
582874041,20160926,201609,2016,2016.7288,"THACOP","THAILAND","THA",NA,NA,NA,NA,"COP",NA,NA,"THA","THAI","THA",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,1,1,1,-2.66875981161695,4,"Johannesburg, Gauteng, South Africa","SF","SF06",-26.2,28.0833,-1240261,4,"Johannesburg, Gauteng, South Africa","SF","SF06",-26.2,28.0833,-1240261,4,"Johannesburg, Gauteng, South Africa","SF","SF06",-26.2,28.0833,-1240261,20160926,"http://www.msn.com/en-gb/news/world/the-crime-family-at-the-centre-of-asias-animal-trafficking-network/ar-BBwE7Qd"
582874264,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"AUS","VICTORIA","AUS",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,2,1,2,-9.26267281105989,3,"New Mexico State University, New Mexico, United States","US","USNM",32.2826,-106.75,885499,3,"New Mexico State University, New Mexico, United States","US","USNM",32.2826,-106.75,885499,3,"New Mexico State University, New Mexico, United States","US","USNM",32.2826,-106.75,885499,20160926,"http://www.taosnews.com/news/gov-martinez-s-push-for-the-death-penalty-prompts-question/article_3c04cafe-83f8-11e6-9025-d7ac7b78a2dd.html"
582874265,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"AUS","VICTORIA","AUS",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,6,1,6,-9.26267281105989,3,"Albuquerque, New Mexico, United States","US","USNM",35.0845,-106.651,928679,3,"Albuquerque, New Mexico, United States","US","USNM",35.0845,-106.651,928679,3,"Albuquerque, New Mexico, United States","US","USNM",35.0845,-106.651,928679,20160926,"http://www.taosnews.com/news/gov-martinez-s-push-for-the-death-penalty-prompts-question/article_3c04cafe-83f8-11e6-9025-d7ac7b78a2dd.html"
582874278,20160926,201609,2016,2016.7288,"USA","THE US","USA",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,0,"111","111","11",3,-2,10,1,10,-1.26582278481012,4,"Beijing, Beijing, China","CH","CH22",39.9289,116.388,-1898541,4,"Beijing, Beijing, China","CH","CH22",39.9289,116.388,-1898541,4,"Beijing, Beijing, China","CH","CH22",39.9289,116.388,-1898541,20160926,"http://www.chinatopix.com/articles/101830/20160926/china-japan-east-china-sea-bombers-fighter-jets.htm"
582874454,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,1,1,1,-1.38888888888889,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,20160926,"https://www.yahoo.com/news/watch-time-lapse-footage-tesla-151151475.html"
582874455,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,1,1,1,-1.38888888888889,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,2,"New Jersey, United States","US","USNJ",40.314,-74.5089,NA,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,20160926,"https://www.yahoo.com/news/watch-time-lapse-footage-tesla-151151475.html"
582874456,20160926,201609,2016,2016.7288,"USA","PENNSYLVANIA","USA",NA,NA,NA,NA,NA,NA,NA,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,6,1,6,-1.38888888888889,2,"Pennsylvania, United States","US","USPA",40.5773,-77.264,NA,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,20160926,"https://www.yahoo.com/news/watch-time-lapse-footage-tesla-151151475.html"
582874457,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,1,1,1,-1.38888888888889,2,"Pennsylvania, United States","US","USPA",40.5773,-77.264,NA,2,"New Jersey, United States","US","USNJ",40.314,-74.5089,NA,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,20160926,"https://www.yahoo.com/news/watch-time-lapse-footage-tesla-151151475.html"
582874505,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"USACOP","CHARLOTTE","USA",NA,NA,NA,NA,"COP",NA,NA,1,"111","111","11",3,-2,8,1,8,-3.84615384615385,2,"Georgia, United States","US","USGA",32.9866,-83.6487,NA,2,"Georgia, United States","US","USGA",32.9866,-83.6487,NA,2,"Georgia, United States","US","USGA",32.9866,-83.6487,NA,20160926,"http://www.clatl.com/news/article/20834742/first-slice-92516"
