YEAR,COUNTRY,EXPORT_USD,IMPORT_USD,EXPORT_SHARE,IMPORT_SHARE,EXPORT_PRODUCTS,IMPORT_PRODUCTS
2021,Guinea-Bissau,423804400.0,206015560.0,0.0,0.0,2166.0,233
2021,Equatorial Guinea,1004896500.0,5249372680.0,0.0,0.02,2546.0,628
2021,Greece,72213264350.0,40894577250.0,0.33,0.19,4460.0,4342
2021,Grenada,339940630.0,41039960.0,0.0,0.0,2196.0,589
2021,Greenland,951556740.0,1434281540.0,0.0,0.01,2887.0,694
2021,Guatemala,21912481420.0,13976665920.0,0.1,0.06,3904.0,2930
2021,Guam,840210570.0,23772580.0,0.0,0.0,1780.0,636
2021,Guyana,3079097990.0,4203942920.0,0.01,0.02,3011.0,905
2021,"Hong Kong, China",719841278500.0,93823302200.0,3.32,0.43,4479.0,4245
2021,Heard Island and McDonald Isla,395290.0,1156100.0,0.0,0.0,69.0,36
2021,Honduras,14942031150.0,11037920420.0,0.07,0.05,3767.0,2517
2021,Croatia,34425112190.0,19050719200.0,0.16,0.09,4387.0,4183
2021,Haiti,4512238840.0,1385945520.0,0.02,0.01,2871.0,932
2021,Hungary,134721925500.0,133708873000.0,0.62,0.61,4472.0,4390
2021,Indonesia,193979279900.0,265686515900.0,0.89,1.21,4405.0,4177
2021,India,458897423100.0,378484737000.0,2.12,1.72,4447.0,4542
2021,British Indian Ocean Ter.,47587350.0,4085810.0,0.0,0.0,257.0,174
2021,Ireland,99284779130.0,246620444400.0,0.46,1.12,4430.0,4281
2021,"Iran, Islamic Rep.",33208272750.0,16186203230.0,0.15,0.07,3894.0,3213
2021,Iraq,61406796900.0,87602679380.0,0.28,0.4,4032.0,1668
2021,Iceland,6716981280.0,6200718910.0,0.03,0.03,3718.0,2202
2021,Israel,87754713740.0,69405488940.0,0.4,0.32,4369.0,3870
2021,Italy,538517612600.0,607580069800.0,2.48,2.77,4559.0,4590
2021,Jamaica,4954411990.0,1124245450.0,0.02,0.01,3170.0,1903
2021,Jordan,21706688210.0,9865009550.0,0.1,0.04,4048.0,2689
2021,Japan,634215193700.0,851133208600.0,2.92,3.87,4511.0,4498
2021,Kazakhstan,48111111720.0,56771783230.0,0.22,0.26,4295.0,3147
2021,Kenya,23201531600.0,7109119740.0,0.11,0.03,4057.0,3346
2021,Kyrgyz Republic,13117516750.0,2875984470.0,0.06,0.01,3669.0,2090
2021,Cambodia,36537750790.0,29771688080.0,0.17,0.14,3895.0,2135
2021,Kiribati,166371710.0,104543140.0,0.0,0.0,1686.0,192
2021,St. Kitts and Nevis,294484490.0,73906490.0,0.0,0.0,1860.0,700
2021,"Korea, Rep.",535602156300.0,731814173900.0,2.47,3.33,4497.0,4392
2021,Kuwait,35938321720.0,63997066950.0,0.17,0.29,4068.0,2340
2021,Lao PDR,6892820120.0,8559449289.999999,0.03,0.04,3425.0,1387
2021,Lebanon,13945540670.0,3716605930.0,0.06,0.02,3938.0,3157
2021,Liberia,16531073970.0,1822411210.0,0.08,0.01,3042.0,801
2021,Libya,17470403460.0,32904983400.0,0.08,0.15,3490.0,815
2021,St. Lucia,1522467860.0,67926320.0,0.01,0.0,2170.0,1093
2021,Latin America & Caribbean,1185687644000.0,1314207893000.0,5.47,5.98,0.0,4566
2021,Sri Lanka,19327169830.0,13197476170.0,0.09,0.06,4081.0,3183
2021,Lesotho,1596780060.0,1074476520.0,0.01,0.0,3546.0,1123
2021,Lithuania,40880789210.0,33721356420.0,0.19,0.15,4420.0,4336
2021,Luxembourg,29527535950.0,19247090780.0,0.14,0.09,4294.0,4172
2021,Latvia,26003272180.0,17377300130.0,0.12,0.08,4381.0,4261
2021,Macao,14482825050.0,1663059390.0,0.07,0.01,3176.0,1731
2021,Morocco,51677148040.0,38654628470.0,0.24,0.18,4250.0,3364
2021,Moldova,7397628270.0,3914335960.0,0.03,0.02,3872.0,2140
2021,Madagascar,3568390810.0,3319655120.0,0.02,0.02,3404.0,1693
2021,Maldives,2502038350.0,275485540.0,0.01,0.0,3513.0,876
2021,Middle East & North Africa,990349622100.0,1107835860000.0,4.57,5.04,0.0,4576
2021,Mexico,465684914500.0,529608149900.0,2.15,2.41,4459.0,4279
2021,Marshall Islands,14359344530.0,1679736060.0,0.07,0.01,2308.0,518
2021,North Macedonia,10535396210.0,9270161160.0,0.05,0.04,3914.0,2589
2021,Mali,5740292280.0,9458213670.0,0.03,0.04,3176.0,1458
2021,Malta,21308761950.0,5505329630.0,0.1,0.03,4228.0,3482
2021,Myanmar,23369177880.0,20790698420.0,0.11,0.09,3911.0,2105
2021,Mongolia,6190679850.0,8296164080.0,0.03,0.04,3351.0,1182
2021,Northern Mariana Islands,65057610.0,3431670.0,0.0,0.0,916.0,182
2021,Montenegro,3032551740.0,710508050.0,0.01,0.0,3611.0,1538
2021,Mozambique,17363905560.0,7350848410.0,0.08,0.03,3923.0,1682
2021,Mauritania,3706261580.0,4145523820.0,0.02,0.02,3059.0,989
2021,Montserrat,18981840.0,14574210.0,0.0,0.0,737.0,283
2021,Mauritius,4354908060.0,2332920710.0,0.02,0.01,3779.0,2791
2021,Malawi,1668114810.0,1007656530.0,0.01,0.0,3294.0,971
2021,Malaysia,255779092400.0,418509490600.0,1.18,1.9,4466.0,4323
2021,North America,3310231677000.0,2224367074000.0,15.26,10.12,0.0,4630
2021,Namibia,6657713360.0,4642855300.0,0.03,0.02,3988.0,2567
2021,New Caledonia,2258983690.0,2057908860.0,0.01,0.01,3230.0,902
2021,Niger,2035380070.0,3649741440.0,0.01,0.02,2637.0,1386
